0131842;31;03;1;67;M;406;755;A;inc;inc;inc;inc;inc;inc;inc;0;0;7;111;333877;7;9746;1635;8111;1;8962;29;11;54;0;0;1;286460;3;333877;2;115496;1;218381;0;0;0;0;0;0;0;2;0;5;947984;614107;0;0;1;oui
0140210;31;01;1;82;M;445;770;A;inc;inc;inc;inc;inc;inc;inc;0;0;3;216;699037;0;76856;0;0;2;57988;216;11;83;0;76856;2;902591;4;699037;1;301057;2;251965;1;146015;0;0;0;0;33;2;0;5;3368558;2569775;3;3;5;oui
0148009;31;01;1;51;M;238;311;A;inc;inc;inc;inc;inc;inc;inc;0;0;0;115;701939;4;119216;0;119216;2;35938;114;11;49;206016;0;1;152530;4;701939;2;520145;2;181794;0;0;0;0;0;0;14;2;0;inc;1303700;556967;0;0;1;oui
0442153;82;06;1;52;M;270;465;A;inc;inc;inc;inc;inc;inc;inc;0;0;4;19579;8920;0;0;0;0;1;132468;4079;11;50;98500;0;0;0;3;19508920;2;8920;0;0;0;0;0;0;1;19500000;5;2;0;5;19856243;133896;0;0;0;oui
0552427;97;01;1;58;M;139;345;C;inc;inc;inc;inc;inc;inc;inc;0;0;0;40;3402;0;0;0;0;1;1336;40;14;2;3394;0;0;0;1;3402;0;0;1;3402;0;0;0;0;0;0;0;1;0;1;122745;0;0;0;0;oui
0556005;40;01;1;27;C;99;840;B;inc;inc;inc;inc;inc;inc;inc;0;0;0;17;76321;0;0;0;0;1;12221;17;11;23;0;0;0;0;3;76321;1;46312;2;30009;0;0;0;0;0;0;14;2;0;5;83224;0;0;0;0;oui
0556686;65;01;1;49;S;89;555;A;inc;inc;inc;inc;inc;inc;inc;0;0;0;374;473350;0;209062;37859;171203;1;21187;208;11;49;0;0;1;21423;5;473350;3;399999;2;73351;0;0;0;0;0;0;11;3;1;4;494773;21423;2;1;12;oui
0642458;64;01;2;76;V;222;860;A;inc;inc;inc;inc;inc;inc;inc;0;0;2;10;229440;0;0;0;0;1;2726;10;11;23;80930;0;0;0;3;229440;1;182895;2;46545;0;0;0;0;0;0;0;1;0;5;314651;79091;0;0;0;oui
0642680;65;01;1;64;M;216;355;A;inc;inc;inc;inc;inc;inc;inc;0;0;5;24;78462;0;0;0;0;1;7154;24;11;67;0;0;0;0;4;78462;1;34820;2;9803;1;33839;0;0;0;0;27;1;0;5;81218;0;3;0;0;oui
0643508;65;01;1;38;C;188;545;C;inc;inc;inc;inc;inc;inc;inc;0;0;2;26;0;5;28823;28823;0;1;7122;26;14;36;42649;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;2;0;6;14706;0;3;8;2;oui
0808224;31;01;2;46;M;135;348;A;inc;inc;inc;inc;inc;inc;inc;0;0;2;40;96856;0;0;0;0;2;6531;24;11;51;0;0;0;0;2;96856;1;38775;1;58081;0;0;0;0;0;0;27;3;0;6;105333;0;17;0;18;oui
0941007;31;01;1;45;M;393;635;A;inc;inc;inc;inc;inc;inc;inc;0;0;1;55;266391;0;0;0;0;1;83717;38;11;39;20500;0;0;0;2;266391;2;266391;0;0;0;0;0;0;0;0;15;2;0;5;310878;1452;0;0;0;oui
0981681;31;01;1;38;C;63;375;D;inc;inc;inc;inc;inc;inc;inc;0;0;1;32;9597;11;1085892;2190;235100;1;3524;32;18;15;0;848602;2;98154;3;9597;2;9032;1;565;0;0;0;0;0;0;.;0;0;4;158955;149358;14;6;11;oui
